filename,audio_data_mean,audio_data_var,zcr_mean,zcr_var,sc_mean,sc_var,srolloff_mean,srolloff_var,mfcc_mean,mfcc_var,chroma_mean,chroma_var,scale
tizita152.wav,4.385961e-05,0.06413192,0.04372572157261507,0.04181378284556921,878.7264111710623,105968.71431815778,1450.4352613834108,482060.9263827445,0.80877835,3469.568,0.3559037,0.09401302,Tizita
tizita153.wav,-2.2768185e-05,0.05244629,0.035205017365127315,0.03396562411744841,896.6917777971637,283977.34551910346,1577.8571255804954,1562833.7927919223,-0.02925091,3923.6453,0.38382855,0.0972813,Tizita
tizita154.wav,9.120827e-05,0.06628074,0.04820656109999803,0.04588268856691019,1100.9301323799248,260210.33603837492,2020.4294494062017,1919703.3371045853,1.9578083,2658.1348,0.38269478,0.09036679,Tizita
tizita155.wav,7.541442e-05,0.07480618,0.04830030405982615,0.04596738468755452,1152.2836886839818,416669.48573394865,2344.127492048423,3096330.5672537903,2.6653318,2654.8848,0.3891837,0.08957959,Tizita
tizita156.wav,8.0591075e-05,0.08004583,0.04978446875665744,0.04730597542727484,1073.7906682833116,215895.11565402866,2070.4932546947507,1539351.4397854514,3.0916157,2629.1099,0.40699428,0.08822192,Tizita
tizita157.wav,2.10662e-05,0.08952728,0.03751835169636958,0.0361107249823571,826.9199309418623,120425.29825806004,1553.8989371190498,631526.6115640891,3.1667557,3196.7832,0.38909143,0.093391314,Tizita
tizita158.wav,-8.59808e-05,0.08412798,0.044650376559421695,0.04265672043252354,957.7828518198879,133741.80927751926,1749.4644212279895,634386.1186485551,3.147194,2849.642,0.4200154,0.09056965,Tizita
tizita159.wav,2.4890507e-05,0.094998635,0.03740344097141898,0.03600442357491655,790.0075371613398,102134.3116440432,1415.0664432868132,558852.9437955328,3.3846436,3311.9688,0.37228006,0.09295008,Tizita
tizita160.wav,7.968331e-05,0.075539745,0.05089800907452259,0.048307401746772415,1168.9378446617902,411608.7147922855,2361.2081505582946,2424428.342522468,3.0945628,2524.215,0.42333174,0.08871333,Tizita
tizita161.wav,2.2234413e-05,0.088484064,0.06645468661879728,0.062038461245194694,1392.7229851439656,479034.97986548586,2853.9244093762095,3241529.9673577766,4.3544173,1852.9625,0.38886794,0.08787966,Tizita
tizita162.wav,0.00020436794,0.09165498,0.05067260573676675,0.04810489276461294,1167.7021778919357,325796.81788979116,2305.369393080012,2412908.1058058073,4.317291,2157.0845,0.4123368,0.08618479,Tizita
tizita163.wav,-1.7031756e-05,0.08337836,0.04135576511643027,0.039645465808064904,1004.2700575558179,226420.45831889854,1974.6547261996905,1658550.9802109483,3.833038,2620.896,0.4042191,0.08806827,Tizita
tizita164.wav,3.1144224e-05,0.087115526,0.03963871131505032,0.03806748388033244,948.4821863172237,174076.7407212337,1765.131450750435,1353292.5063923905,3.5963264,2773.678,0.38326842,0.090782486,Tizita
tizita165.wav,5.6098845e-05,0.08347513,0.04688206379662011,0.04468413589078977,1050.2899805032075,176886.1627178252,2034.821029048955,1189835.0615279344,3.5068886,2447.5652,0.40193892,0.08502128,Tizita
tizita166.wav,6.933899e-07,0.021123216,0.03762267853875893,0.03620721259832812,813.6847325268993,366090.7406174433,1371.0917091960139,2386523.988500179,-7.9106293,6559.446,0.31563696,0.094854966,Tizita
tizita167.wav,-3.4283419e-06,0.006488944,0.04090670609918912,0.03923334749530367,1144.4989308222484,439808.9672448304,2275.969570856714,5873558.878515731,-12.875014,8330.621,0.26755655,0.086382665,Tizita
tizita168.wav,1.8948185e-05,0.0097809145,0.03714722151293414,0.035767305446803156,1017.506165455591,236944.03145017498,1699.4326987565255,2585726.83049446,-12.016258,7502.16,0.22796486,0.08415547,Tizita
tizita169.wav,1.1490579e-05,0.006313844,0.03845124534498165,0.03697274707640166,1041.4653550383582,212034.0301421484,1573.8238166360295,2289487.9864750286,-13.495263,8552.726,0.23604544,0.08576961,Tizita
tizita170.wav,5.9837305e-07,0.008385651,0.038445197412089516,0.036967164208034975,1112.875157746892,248351.21461143627,2151.3453244424827,4092619.4005950377,-14.235084,7606.899,0.22062571,0.08327023,Tizita
tizita171.wav,1.1804934e-05,0.0051976508,0.047319026948076985,0.04507993663676414,962.6230791291433,109391.71051955606,1672.564886228957,520241.4607536556,-13.59591,6369.7983,0.23086269,0.08514848,Tizita
